IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
170454250,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,06/01/2017,23:00,MISSION,NONE,3200 Block of 17TH ST,-122.41790252216705,37.76347927904132,"(37.76347927904132, -122.41790252216705)",17045425005073
170454363,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,06/03/2017,13:35,NORTHERN,NONE,2300 Block of BAY ST,-122.44571617792231,37.8014656550873,"(37.8014656550873, -122.44571617792231)",17045436305013
170454551,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Saturday,06/03/2017,15:01,NORTHERN,JUVENILE BOOKED,CLEARY CT / LAGUNA ST,-122.42778098873514,37.783923720169064,"(37.783923720169064, -122.42778098873514)",17045455105014
170455327,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,06/01/2017,20:00,MISSION,NONE,4600 Block of 25TH ST,-122.44100306009491,37.74921037257341,"(37.74921037257341, -122.44100306009491)",17045532705043
170455991,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",Saturday,06/03/2017,15:00,BAYVIEW,NONE,1100 Block of QUESADA AV,-122.38093367006104,37.72744235050307,"(37.72744235050307, -122.38093367006104)",17045599105061
170456024,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Sunday,06/04/2017,04:39,MISSION,NONE,2600 Block of FOLSOM ST,-122.41424009826775,37.75488800800822,"(37.75488800800822, -122.41424009826775)",17045602405083
170456030,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Sunday,06/04/2017,04:30,RICHMOND,"ARREST, BOOKED",3000 Block of GEARY BL,-122.45166986181928,37.78205164621177,"(37.78205164621177, -122.45166986181928)",17045603005053
170456109,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,06/04/2017,06:04,NORTHERN,NONE,600 Block of LAGUNA ST,-122.42638294847264,37.77670525009051,"(37.77670525009051, -122.42638294847264)",17045610905081
170456165,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Sunday,06/04/2017,02:31,CENTRAL,NONE,500 Block of SANSOME ST,-122.40169894774078,37.795510301165876,"(37.795510301165876, -122.40169894774078)",17045616505051
170456206,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Sunday,06/04/2017,05:30,BAYVIEW,NONE,4500 Block of 3RD ST,-122.39013634984379,37.73680362269757,"(37.73680362269757, -122.39013634984379)",17045620605051
170456212,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,06/02/2017,22:00,MISSION,NONE,400 Block of JERSEY ST,-122.4351304705473,37.75037168946103,"(37.75037168946103, -122.4351304705473)",17045621205073
170456228,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,05/17/2017,12:00,SOUTHERN,NONE,0 Block of DORE ST,-122.41293306238357,37.773927452481935,"(37.773927452481935, -122.41293306238357)",17045622805011
170456494,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,06/04/2017,02:30,SOUTHERN,CLEARED-CONTACT JUVENILE FOR MORE INFO,900 Block of MARKET ST,-122.40970842372067,37.7828276498838,"(37.7828276498838, -122.40970842372067)",17045649405071
170457191,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,06/04/2017,14:30,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.43268094292587,37.78282144901397,"(37.78282144901397, -122.43268094292587)",17045719105081
170457298,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Friday,06/02/2017,16:15,SOUTHERN,"ARREST, BOOKED",300 Block of 8TH ST,-122.40923108175237,37.774403751180714,"(37.774403751180714, -122.40923108175237)",17045729805014
170418585,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,05/21/2017,23:30,BAYVIEW,NONE,100 Block of NORTHRIDGE RD,-122.37822600852667,37.73129414875246,"(37.73129414875246, -122.37822600852667)",17041858505081
170457737,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Wednesday,05/31/2017,04:30,NORTHERN,NONE,200 Block of OAK ST,-122.42337106778842,37.77486663494096,"(37.77486663494096, -122.42337106778842)",17045773705012
170458484,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,06/05/2017,02:51,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.42423010114429,37.787178562273596,"(37.787178562273596, -122.42423010114429)",17045848405014
170458581,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,06/02/2017,17:00,BAYVIEW,NONE,1400 Block of YOSEMITE AV,-122.38884333003215,37.725314712010096,"(37.725314712010096, -122.38884333003215)",17045858105151
170458672,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Monday,06/05/2017,00:10,MISSION,NONE,500 Block of CASTRO ST,-122.43499478308867,37.76006971065671,"(37.76006971065671, -122.43499478308867)",17045867205051
170458707,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,06/02/2017,17:00,RICHMOND,NONE,3600 Block of GEARY BL,-122.45831575787432,37.78141317972182,"(37.78141317972182, -122.45831575787432)",17045870705151
170458763,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,06/04/2017,16:00,INGLESIDE,NONE,200 Block of CORTLAND AV,-122.41931310016116,37.73965522610448,"(37.73965522610448, -122.41931310016116)",17045876305043
170458826,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,06/05/2017,03:30,INGLESIDE,NONE,300 Block of VALLEY ST,-122.4300962792402,37.7443493985724,"(37.7443493985724, -122.4300962792402)",17045882605012
170458832,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,06/02/2017,12:30,RICHMOND,NONE,3600 Block of GEARY BL,-122.45831575787432,37.78141317972182,"(37.78141317972182, -122.45831575787432)",17045883205151
170459034,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,06/05/2017,03:15,CENTRAL,NONE,500 Block of NORTHPOINT ST,-122.41628080507698,37.80629468123331,"(37.80629468123331, -122.41628080507698)",17045903405151
170459040,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,06/05/2017,05:11,RICHMOND,NONE,800 Block of CLEMENT ST,-122.46818125832851,37.78283091926964,"(37.78283091926964, -122.46818125832851)",17045904005053
170459131,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Tuesday,02/07/2017,00:01,SOUTHERN,NONE,100 Block of 10TH ST,-122.41467078305217,37.77420721671657,"(37.77420721671657, -122.41467078305217)",17045913105153
170459175,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,06/02/2017,18:00,RICHMOND,NONE,5600 Block of GEARY BL,-122.47993818520868,37.7804355312399,"(37.7804355312399, -122.47993818520868)",17045917505071
170459181,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,06/01/2017,12:00,NORTHERN,NONE,1800 Block of PACIFIC AV,-122.42571969840499,37.79455464142958,"(37.79455464142958, -122.42571969840499)",17045918105073
170459216,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Saturday,06/03/2017,03:48,CENTRAL,NONE,100 Block of CALIFORNIA ST,-122.39821721888966,37.79348664990497,"(37.79348664990497, -122.39821721888966)",17045921605153
170459379,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Saturday,06/03/2017,17:30,MISSION,"ARREST, BOOKED",200 Block of UTAH ST,-122.40668271701524,37.76647560594263,"(37.76647560594263, -122.40668271701524)",17045937905071
170459852,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Monday,06/05/2017,13:00,BAYVIEW,NONE,100 Block of NUEVA AV,-122.39706939553018,37.712118208767464,"(37.712118208767464, -122.39706939553018)",17045985205042
170460291,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,06/05/2017,12:15,BAYVIEW,NONE,100 Block of NUEVA AV,-122.39706939553018,37.712118208767464,"(37.712118208767464, -122.39706939553018)",17046029105041
170460893,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,06/05/2017,16:59,MISSION,NONE,0 Block of DOLORES ST,-122.4269048630866,37.76844031820594,"(37.76844031820594, -122.4269048630866)",17046089305073
170461023,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,06/05/2017,08:15,BAYVIEW,NONE,100 Block of AMHERST ST,-122.41660265213561,37.72754898755324,"(37.72754898755324, -122.41660265213561)",17046102305041
170461045,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,06/05/2017,20:08,NORTHERN,"ARREST, BOOKED",HICKORY ST / FRANKLIN ST,-122.42105431172213,37.77569388367338,"(37.77569388367338, -122.42105431172213)",17046104505014
170461766,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Tuesday,06/06/2017,05:26,TENDERLOIN,NONE,0 Block of MASON ST,-122.40926844144442,37.78379987236011,"(37.78379987236011, -122.40926844144442)",17046176605051
170462281,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,06/05/2017,15:30,SOUTHERN,NONE,300 Block of 9TH ST,-122.41083203393522,37.773217127819585,"(37.773217127819585, -122.41083203393522)",17046228105053
170462297,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,06/05/2017,15:00,TARAVAL,NONE,1600 Block of 19TH AV,-122.47675716298576,37.75701549838002,"(37.75701549838002, -122.47675716298576)",17046229705013
170462435,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,06/04/2017,23:00,CENTRAL,NONE,0 Block of PRIEST ST,-122.41520080434856,37.793598787166474,"(37.793598787166474, -122.41520080434856)",17046243505043
170423528,BURGLARY,SAFE BURGLARY OF A WAREHOUSE,Monday,05/15/2017,16:00,SOUTHERN,NONE,400 Block of 9TH ST,-122.40953089611328,37.77216797816872,"(37.77216797816872, -122.40953089611328)",17042352805261
170462758,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Thursday,06/01/2017,18:15,SOUTHERN,NONE,200 Block of 9TH ST,-122.41294323231227,37.77473965628885,"(37.77473965628885, -122.41294323231227)",17046275805153
170462770,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,05/23/2017,00:01,RICHMOND,NONE,200 Block of 7TH AV,-122.46563010436729,37.78384983732199,"(37.78384983732199, -122.46563010436729)",17046277005013
170462833,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,05/20/2017,00:01,INGLESIDE,NONE,100 Block of BROOKDALE AV,-122.42086414652103,37.71219982598,"(37.71219982598, -122.42086414652103)",17046283305013
170462924,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Monday,06/05/2017,22:00,TENDERLOIN,"ARREST, BOOKED",0 Block of STOCKTON ST,-122.40635183429443,37.786031157636174,"(37.786031157636174, -122.40635183429443)",17046292405051
